strain,stage,hour,medianLength,medianWidth
dpy-1,L3,30,459.60422484000003,31.581621413206747
dpy-1,L3,30,461.27533399,29.407416901388125
dpy-1,L3,31,505.559726465,31.89315044591625
dpy-1,L3,31,486.34197124,30.826361495353368
dpy-1,L3,31,477.98642549,31.982003747194472
dpy-1,L3,31,462.110888565,30.888780842713473
dpy-1,L3,31,454.59089739,32.885875966093515
dpy-1,L3,31,467.95977058999995,33.06670308139184
dpy-1,L3,31,457.93311569,31.89079510519348
dpy-1,L3,31,477.98642549,32.6144657549115
dpy-1,L3,31,488.01308039,30.9074979988843
dpy-1,L3,31,456.26200654,30.783244243512193
dpy-1,L3,31,457.93311569,27.93811789855922
dpy-1,L3,31,487.17752581499997,29.308088704461206
dpy-1,L3,31,474.64420719,31.205352478089885
dpy-1,L3,31,449.57756994,32.4338558094152
dpy-1,L3,31,449.57756994,31.005632820945923
dpy-1,L3,31,472.97309803999997,31.72462113660714
dpy-1,L3,31,467.12421601499994,32.52892083047053
dpy-1,L3,31,466.28866143999994,30.388983599876028
dpy-1,L3,31,485.506416665,30.875622426042682
dpy-1,L3,31,472.97309803999997,31.731134866079735
dpy-1,L3,31,487.177525815,32.727785320270456
dpy-1,L3,31,486.34197124,30.860410687008542
dpy-1,L3,32,471.30198888999996,32.41071405472477
dpy-1,L3,32,493.02640784,33.39299167508504
dpy-1,L3,32,484.67086209,32.83091413995434
dpy-1,L3,32,508.06639019,32.55043596154839
dpy-1,L3,32,486.34197124,33.70032583524664
dpy-1,L3,32,462.94644314000004,32.51278240279069
dpy-1,L3,32,519.76415424,31.040382111415518
dpy-1,L3,32,493.86196241499994,31.797889027324544
dpy-1,L3,32,508.901944765,32.826745763794534
dpy-1,L3,32,454.59089739,33.87090521209072
dpy-1,L3,32,493.02640784,31.49418281921412
dpy-1,L3,32,459.60422484000003,32.295066963246065
dpy-1,L3,32,462.94644314000004,31.41340961736111
dpy-1,L3,32,469.63087973999995,32.8984349660687
dpy-1,L3,32,495.53307156499994,31.946843745057485
dpy-1,L3,32,469.63087973999995,33.38767009662061
dpy-1,L3,32,495.53307156499994,33.761250670267614
dpy-1,L3,32,474.64420719,35.75361334346154
dpy-1,L3,32,489.68418954,33.701252126789335
dpy-1,L3,32,476.31531634,34.4790266875506
dpy-1,L3,32,457.93311569,33.91560840247663
dpy-1,L3,32,474.64420719,32.97516545267606
dpy-1,L3,33,501.38195358999997,34.11150425142432
dpy-1,L3,33,523.1063725399999,35.732810875862064
dpy-1,L3,33,472.97309803999997,33.30287881578843
dpy-1,L3,33,477.98642549,34.48654297658406
dpy-1,L3,33,482.99975294,35.129804878893616
dpy-1,L3,33,479.65753464,32.41319639662922
dpy-1,L3,33,491.35529869000004,35.52875758004546
dpy-1,L3,33,498.87528986499996,35.421548574878685
dpy-1,L3,33,508.06639019,33.91472533409639
dpy-1,L3,33,515.586381365,33.29652775773512
dpy-1,L3,33,474.64420719,33.77066242973094
dpy-1,L3,33,477.150870915,31.699993550466445
dpy-1,L3,33,493.02640783999993,32.60319519478632
dpy-1,L3,33,494.69751698999994,33.50664535768116
